PING 127.0.0.1 (127.0.0.1) 56(84) bytes of data.
64 bytes from 127.0.0.1: icmp_seq=79 ttl=64 time=0.016 ms
64 bytes from 127.0.0.1: icmp_seq=80 ttl=64 time=0.016 ms
64 bytes from 127.0.0.1: icmp_seq=81 ttl=64 time=0.017 ms
64 bytes from 127.0.0.1: icmp_seq=82 ttl=64 time=0.018 ms
64 bytes from 127.0.0.1: icmp_seq=83 ttl=64 time=0.024 ms
64 bytes from 127.0.0.1: icmp_seq=84 ttl=64 time=0.017 ms
64 bytes from 127.0.0.1: icmp_seq=85 ttl=64 time=0.023 ms
64 bytes from 127.0.0.1: icmp_seq=86 ttl=64 time=0.020 ms
64 bytes from 127.0.0.1: icmp_seq=87 ttl=64 time=0.017 ms
64 bytes from 127.0.0.1: icmp_seq=88 ttl=64 time=0.017 ms
64 bytes from 127.0.0.1: icmp_seq=89 ttl=64 time=0.017 ms
64 bytes from 127.0.0.1: icmp_seq=90 ttl=64 time=0.017 ms
64 bytes from 127.0.0.1: icmp_seq=91 ttl=64 time=0.016 ms
64 bytes from 127.0.0.1: icmp_seq=92 ttl=64 time=0.017 ms
64 bytes from 127.0.0.1: icmp_seq=93 ttl=64 time=0.017 ms
64 bytes from 127.0.0.1: icmp_seq=94 ttl=64 time=0.017 ms
64 bytes from 127.0.0.1: icmp_seq=95 ttl=64 time=0.016 ms
64 bytes from 127.0.0.1: icmp_seq=96 ttl=64 time=0.018 ms
64 bytes from 127.0.0.1: icmp_seq=97 ttl=64 time=0.018 ms
64 bytes from 127.0.0.1: icmp_seq=98 ttl=64 time=0.020 ms
64 bytes from 127.0.0.1: icmp_seq=99 ttl=64 time=0.018 ms
64 bytes from 127.0.0.1: icmp_seq=100 ttl=64 time=0.016 ms
64 bytes from 127.0.0.1: icmp_seq=101 ttl=64 time=0.021 ms
64 bytes from 127.0.0.1: icmp_seq=102 ttl=64 time=0.014 ms
64 bytes from 127.0.0.1: icmp_seq=103 ttl=64 time=0.016 ms
64 bytes from 127.0.0.1: icmp_seq=104 ttl=64 time=0.019 ms
64 bytes from 127.0.0.1: icmp_seq=105 ttl=64 time=0.019 ms

--- 127.0.0.1 ping statistics ---
105 packets transmitted, 105 received, 0% packet loss, time 106504ms
rtt min/avg/max/mdev = 0.014/0.018/0.045/0.006 ms
